,Book-Author,Book-Title,Title-Substring,ISBN
15391,frederick douglass,narrative of the life of frederick douglass ( dover thrift editions ),narrative of the life of frederick douglass,0486284999
9346,frederick douglass,"narrative of the life of frederick douglass , an american slave ( the penguin american library )","narrative of the life of frederick douglass , an american slave",014039012X
4032,frederick douglass,narrative of the life of frederick douglass : an american slave ( signet classics ( paperback ) ),narrative of the life of frederick douglass,0451526732
2894,frederick forsyth,"avenger ( forsyth , frederick )",avenger,0312319517
4475,frederick forsyth,icon,icon,0553574604
10527,frederick forsyth,negotiator,negotiator,0553283936
12417,frederick forsyth,negotiator,negotiator,0553053612
15596,frederick forsyth,odessa ( spanish ed ),odessa,8401491169
8138,frederick forsyth,the day of the jackal,the day of the jackal,0553266306
4900,frederick forsyth,the deceiver,the deceiver,0553297422
14839,frederick forsyth,the deceiver,the deceiver,0553073192
2400,frederick forsyth,the fist of god,the fist of god,0553572423
8792,frederick forsyth,the fourth protocol,the fourth protocol,0553251139
8983,frederick forsyth,the phantom of manhattan,the phantom of manhattan,0312975856
9522,frederick forsyth,the phantom of manhattan,the phantom of manhattan,0312246560
12057,frederick gipson,old yeller,old yeller,0590023101
14229,frederick kohner,gidget,gidget,0425179621
13121,frederick lenz,surfing the himalayas : a spiritual adventure,surfing the himalayas,0312152175
5720,frederik pohl,gateway ( heechee saga ),gateway,0345346904
11966,freedom writers,the freedom writers diary : how a teacher and 150 teens used writing to change themselves and the world around them,the freedom writers diary,038549422X
4472,fretta reitzes,"wonderplay : interactive & developmental games , crafts , & creative activities for infants , toddlers , & preschoolers",wonderplay,1561385751
14825,friedric durrenmatt,der besuch der alten dame,der besuch der alten dame,3257208359
1580,friedrich ani,suden und der strassenbahntrinker,suden und der strassenbahntrinker,3426620685
5386,friedrich duerenmatt,der richter und sein henker,der richter und sein henker,3499101505
11790,friedrich duerrenmatt,die physiker,die physiker,3257230478
10974,friedrich durrenmatt,das versprechen . requiem auf den kriminalroman,das versprechen . requiem auf den kriminalroman,3423013907
17333,friedrich durrenmatt,der verdacht . kriminalroman,der verdacht . kriminalroman,3257214367
15457,friedrich nietzsche,beyond good and evil : prelude to a philosophy of the future,beyond good and evil,0679724656
9233,friedrich nietzsche,portable nietzsche ( viking portable library ),portable nietzsche,0140150625
5976,frommer,the new york public library american history desk reference ( new york public library series ),the new york public library american history desk reference,0028613228
9878,fronassssssss lewis,flowers for travis,flowers for travis,0595304311
1756,frederic beigbeder,99 francs : roman,99 francs,2246567610
17972,fuyumi soryo,mars #1,mars #1,1931514585
14138,fynn,"mister god , this is anna","mister god , this is anna",0345327225
2534,fyodor dostoevsky,crime and punishment ( crime & punishment ),crime and punishment,0553211757
7782,fyodor dostoevsky,crime and punishment ( wordsworth classics ),crime and punishment,1853262005
11602,fyodor dostoevsky,notes from underground ( bantam classic ),notes from underground,0553211447
12178,fyodor dostoyevsky,crime and punishment ( dover thrift editions ),crime and punishment,0486415872
7088,fyodor dostoyevsky,crime and punishment ( penguin classics ),crime and punishment,0140445285
14049,fyodor dostoyevsky,crime and punishment ( washington square enriched classic ),crime and punishment,0451523350
12896,fyodor dostoyevsky,idiot ( penguin classics ),idiot,0140440542
18054,fyodor dostoyevsky,notes from underground ( vintage classics ),notes from underground,067973452X
4581,fyodor dostoyevsky,notes from underground the double : the double ( penguin classics ),notes from underground the double,0140442529
5754,fyodor dostoyevsky,notes from the underground ( dover thrift editions ),notes from the underground,048627053X
12177,fyodor dostoyevsky,the devils : the possessed,the devils,0140440356
10829,fyodor dostoyevsky,the idiot ( oxford world's classics ),the idiot,0192834118
8320,g . a . mckevett,peaches and screams : a savannah reid mystery ( savannah reid mysteries ( paperback ) ),peaches and screams,1575667274
7814,g . b . trudeau,death of a party animal ( a doonesbury book ),death of a party animal,0805000739
11137,g . bruce knecht,the proving ground,the proving ground,0446611859
3736,g . e . dabbs,lucy's treasure,lucy's treasure,1410729435
2822,g . garfield crimmins,the republic of dreams : a reverie,the republic of dreams,0393046338
14112,g . grossmith,diary of a nobody,diary of a nobody,1853262013
15743,g . h . ephron,amnesia,amnesia,031226867X
16195,g . k . chesterton,father brown : selected stories ( wordsworth collection ),father brown,1853260037
17297,g . k . chesterton,favorite father brown stories ( dover thrift editions ),favorite father brown stories,0486275450
14941,g . k . chesterton,man who was thursday ( wordsworth collection ),man who was thursday,1853262366
17980,g . k . chesterton,the man who was thursday : a nightmare ( modern library classics ),the man who was thursday,0375757910
17979,g . b . trudeau,"that's doctor sinatra , you little bimbo ! ( a doonesbury book / by g . b . trudeau )","that's doctor sinatra , you little bimbo",0030085373
16478,g . m . ford,who in hell is wanda fuca ?,who in hell is wanda fuca,0380727617
17880,g . m . a . grube,"plato five dialogues : euthyphro , apology , crito , meno , phaedo",plato five dialogues,0915145227
5535,gabriel garcia marquez,chronicle of a death foretold,chronicle of a death foretold,0345310020
9023,gabriel garcia marquez,cronica de una muerte anunciada ( vintage espanol ),cronica de una muerte anunciada,1400034957
15107,gabriel garcia marquez,"general in his labyrinth , the","general in his labyrinth , the",0394582586
2347,gabriel garcia marquez,love in the time of cholera,love in the time of cholera,0394561619
15941,gabriel garcia marquez,love in the time of cholera,love in the time of cholera,140003468X
17127,gabriel garcia marquez,news of a kidnapping,news of a kidnapping,0375400516
4638,gabriel garcia marquez,of love and other demons,of love and other demons,067943853X
17110,gabriel garcia marquez,stry shipwrcked sailor,stry shipwrcked sailor,0394548108
4121,gail bowen,verdict in blood ( joanne kilbourn mysteries ( paperback ) ),verdict in blood,0771014899
13360,gail sheehy,passages : predictable crises of adult life,passages,0553271067
2069,gary paulsen,harris and me,harris and me,0440409942
3206,gary paulsen,the transall saga,the transall saga,0440219760
7292,gavin de becker,the gift of fear,the gift of fear,0440226198
16800,george crane,bones of the master : a journey to secret mongolia,bones of the master,0553379089
2696,george orwell,1984 ( everyman's library ),1984,0679417397
12023,gish jen,mona in the promised land : a novel,mona in the promised land,0679776508
10963,graham swift,waterland,waterland,0679739793
4138,greg bear,darwin's children,darwin's children,0345448359
16543,greg bear,darwin's children,darwin's children,0345448367
16799,greg bottoms,angelhead : my brother's descent into madness,angelhead,0609606263
16224,gabr garcia marquez,cent ans de solitude,cent ans de solitude,202023811X
18055,gabriel garacia marquez,cronica de una muerte anunciada,cronica de una muerte anunciada,840124224X
443,gabriel garcia marquez,chronique d'une mort annoncee,chronique d'une mort annoncee,2253043974
13659,gabriel garcia marquez,cien anos de soledad / one hundred years of solitude,cien anos de soledad / one hundred years of solitude,9871138148
11776,gabriel garcia marquez,collected stories,collected stories,0060913061
16728,gabriel garcia marquez,el amor en los tiempos del colera,el amor en los tiempos del colera,8401242304
17401,gabriel garcia marquez,el coronel no tiene quien le escriba,el coronel no tiene quien le escriba,8420646148
16886,gabriel garcia marquez,el amor en los tiempos del colera,el amor en los tiempos del colera,0140255788
3287,gabriel garcia marquez,el coronel no tiene quien le escriba,el coronel no tiene quien le escriba,8401427568
16959,gabriel garcia marquez,innocent erendira and other stories,innocent erendira and other stories,0060907010
3153,gabriel garcia marquez,love in the time of cholera,love in the time of cholera,014012389X
1746,gabriel garcia marquez,love in the time of cholera ( penguin great books of the 20th century ),love in the time of cholera,0140119906
9490,gabriel garcia marquez,no one writes to the colonel,no one writes to the colonel,0060907002
12170,gabriel garcia marquez,of love and other demons,of love and other demons,014024669X
804,gabriel garcia marquez,of love and other demons ( penguin great books of the 20th century ),of love and other demons,0140256369
70,gabriel garcia marquez,one hundred years of solitude,one hundred years of solitude,0060929790
593,gabriel garcia marquez,one hundred years of solitude,one hundred years of solitude,038001503X
5524,gabriel garcia marquez,one hundred years of solitude ( oprah's book club ),one hundred years of solitude,0060740450
14522,gabriel garcia marquez,relato de un naufrago,relato de un naufrago,8472230082
1890,gabriel garcia marquez,vivir para contarla,vivir para contarla,8439709498
13456,gabriel garcia marquez,one hundred years of solitude,one hundred years of solitude,0060919655
1153,gabriel garcia marquez,cien anos de soledad,cien anos de soledad,843760494X
6578,gabriel king,the wild road,the wild road,0345423038
12674,gabriele lusser rico,writing the natural way : using right brain techniques to release your expressive powers,writing the natural way,0874772362
13241,gabrielle roy,the tin flute ( new canadian library ),the tin flute,077109860X
16872,gaby hauptman,funf - stern - kerle inklusive,funf - stern - kerle inklusive,3492234429
12890,gaby hauptmann,a handful of manhood,a handful of manhood,1860495540
11399,gaby hauptmann,die luge im bett,die luge im bett,349222539X
11103,gaby hauptmann,suche impotenten mann furs leben,suche impotenten mann furs leben,3492221521
6605,gael baudino,shroud of shadow,shroud of shadow,0451452941
4646,gael baudino,strands of starlight,strands of starlight,0451163710
6599,gael baudino,strands of sunlight,strands of sunlight,0451454081
1386,gaelen foley,lady of desire,lady of desire,0804119740
2560,gaelen foley,lord of fire,lord of fire,0449006379
12632,gaelen foley,lord of ice,lord of ice,0804119732
14356,gail anderson - dargatz,a recipe for bees,a recipe for bees,0385720483
3802,gail carson levine,ella enchanted ( newbery honor book ),ella enchanted,0060275103
1947,gail carson levine,ella enchanted ( trophy newbery ),ella enchanted,0064407055
354,gail carson levine,ella enchanted ( rack ),ella enchanted,0060558865
13843,gail carson levine,the wish,the wish,0064473619
1109,gail godwin,evensong ( ballantine reader's circle ),evensong,0345434773
8451,gail godwin,father melancholy's daughter,father melancholy's daughter,0380703149
9570,gail sheehy,silent passage : menopause : silent passage : menopause,silent passage,0671799312
9569,gail sheehy,the silent passage : menopause,the silent passage,067941388X
12891,gail tsukiyama,dreaming water,dreaming water,0312316089
3464,gail tsukiyama,night of many dreams : a novel,night of many dreams,0312199406
16250,gail tsukiyama,the language of threads,the language of threads,0312203764
7170,gail tsukiyama,the language of threads : a novel,the language of threads,0312267568
2928,gail tsukiyama,the samurai's garden : a novel,the samurai's garden,0312144075
5735,gail tsukiyama,women of the silk : a novel,women of the silk,0312099436
8439,gainax,"flcl , vol . 1","flcl , vol . 1",159182396X
4586,gaite carmen martin,entre visillos,entre visillos,8423309177
13592,galadriel waters,ultimate unofficial guide to the mysteries of harry potter,ultimate unofficial guide to the mysteries of harry potter,0972393617
14429,galaxy craze,by the shore : a novel,by the shore,0802136877
4948,gao xingjian,soul mountain,soul mountain,0060936231
17943,garborgs heart n home,gathering promises ( message ),gathering promises,1881830365
12212,garcia marques,the general in his labyrinth ( penguin great books of the 20th century ),the general in his labyrinth,0140148590
11567,gardner dozois,roads not taken : tales of alternate history,roads not taken,0345421949
18135,gardner mckay,toyer,toyer,0446607738
14045,garrison keillor,happy to be here,happy to be here,0140092315
674,garrison keillor,lake wobegon days,lake wobegon days,0140099832
10804,garrison keillor,lake wobegon days,lake wobegon days,0670805149
4229,garrison keillor,lake wobegon days ( wisconsin ),lake wobegon days,0140131612
14382,garrison keillor,lake wobegon summer 1956,lake wobegon summer 1956,0142000930
3921,garrison keillor,lake wobegon days,lake wobegon days,0140092323
8618,garrison keillor,lake wobegon : summer 1956,lake wobegon,0670030031
1021,garrison keillor,leaving home,leaving home,0451821971
6412,garrison keillor,leaving home / a collection of lake wobegon stories,leaving home / a collection of lake wobegon stories,067081976X
10623,garrison keillor,love me,love me,0670032468
7198,garrison keillor,me : by jimmy ( big boy ) valente,me,067088796X
15152,garrison keillor,the best american short stories 1998 ( serial ),the best american short stories 1998,0395875145
5749,garrison keillor,the book of guys : stories,the book of guys,067084943X
17923,garrison keillor,the book of guys : stories,the book of guys,0140233725
4208,garrison keillor,wlt : a radio romance,wlt,0670818577
14440,garrison keillor,wlt : a radio romance,wlt,0140103805
3572,garrison keillor,wobegon boy,wobegon boy,0670878073
7306,garrison keillor,wobegon boy,wobegon boy,0140274782
12996,garth ennis,preacher : alamo ( preacher ( dc comics ) ),preacher,1563897156
12997,garth ennis,"preacher : all hell's a - coming ( dc comics vertigo , book 8 )",preacher,1563896176
13000,garth ennis,"preacher : ancient history ( preacher series , vol 4 )",preacher,156389405X
12999,garth ennis,"preacher : dixie fried ( preacher library , vol . 5 )",preacher,1563894289
13018,garth ennis,preacher : gone to texas ( vertigo ),preacher,1563892618
13001,garth ennis,"preacher : proud americans ( preacher library , vol 3 )",preacher,1563893274
12998,garth ennis,preacher : salvation,preacher,1563895196
13002,garth ennis,"preacher : until the end of the world ( preacher series , vol 2 )",preacher,1563893126
3031,garth nix,abhorsen ( the abhorsen trilogy ),abhorsen,0060278250
3032,garth nix,lirael : daughter of the clayr,lirael,0060278234
6010,garth nix,lirael : daughter of the clayr,lirael,0060005424
1942,garth nix,"mister monday ( keys to the kingdom , 1 )",mister monday,0439551234
3033,garth nix,sabriel ( the abhorsen trilogy ),sabriel,0064471837
9713,garth nix,shade's children,shade's children,0064471969
6566,garth nix,"the fall ( the seventh tower , book 1 )",the fall,0439176824
4572,garthia anderson,spellbound in seattle,spellbound in seattle,0505525372
16706,gary blackwood,the shakespeare stealer ( shakespeare stealer ),the shakespeare stealer,0141305959
13328,gary braver,elixir,elixir,0812575911
10914,gary c . king,blood lust : portrait of a serial sex killer,blood lust,0451403525
11555,gary chapman,the five love languages : five love languages,the five love languages,1881273156
18050,gary goldschneider,the secret language of birthdays : personology profiles for each day of the year,the secret language of birthdays,0670858579
6094,gary jennings,aztec,aztec,0812521463
13604,gary jennings,aztec blood ( aztec ),aztec blood,0812590988
12652,gary kinder,ship of gold in the deep blue sea,ship of gold in the deep blue sea,0375703373
13070,gary kinder,ship of gold in the deep blue sea,ship of gold in the deep blue sea,0871134640
7572,gary larson,beyond the far side,beyond the far side,0836211499
8846,gary larson,bride of the far side,bride of the far side,0836220668
11695,gary larson,chickens are restless ( far side series ),chickens are restless,0836217179
7515,gary larson,cows of our planet ( far side series ),cows of our planet,0836217012
11694,gary larson,far side gallery,far side gallery,0836220625
9332,gary larson,far side gallery 2,far side gallery 2,0836220854
4714,gary larson,far side gallery 3 paperback,far side gallery 3 paperback,0836218310
5974,gary larson,"hound of the far side ( far side books , collection no 7 )",hound of the far side,0836220870
11674,gary larson,in search of the far side,in search of the far side,0836220609
7216,gary larson,it came from the far side,it came from the far side,0836220730
10812,gary larson,last chapter and worse,last chapter and worse,0836221311
5525,gary larson,night of crash - test dummies,night of crash - test dummies,0836220498
7568,gary larson,prehistory of the far side,prehistory of the far side,0836218515
673,gary larson,the curse of madame c : a far side collection,the curse of madame c,0836217632
13193,gary larson,the far side,the far side,0836212002
5441,gary larson,the far side gallery 4,the far side gallery 4,0836217241
12246,gary larson,the far side gallery 5,the far side gallery 5,0836204255
7215,gary larson,the far side observer,the far side observer,0836220986
7189,gary larson,unnatural selections,unnatural selections,0836218817
6771,gary larson,valley of the far side,valley of the far side,0836220676
7214,gary larson,wiener dog art,wiener dog art,0836218655
8199,gary larson,wildlife preserves,wildlife preserves,0836218426
7438,gary ogden harper,saint nick,saint nick,0971263906
4410,gary paulsen,hatchet,hatchet,014032724X
4488,gary paulsen,hatchet,hatchet,059098182X
10846,gary paulsen,hatchet,hatchet,0689826990
15171,gary paulsen,hatchet,hatchet,0689808828
11339,gary paulsen,the haymeadow,the haymeadow,0440409233
5473,gary paulsen,the island,the island,0440206324
2179,gary paulsen,winterdance : the fine madness of running the iditarod,winterdance,0156001454
11643,gary shteyngart,the russian debutante's handbook,the russian debutante's handbook,1573229881
14346,gary shteyngart,the russian debutante's handbook,the russian debutante's handbook,1573222135
15104,gary snyder,turtle island ( a new directions book ),turtle island,0811205460
11381,gary warren aldrich,unlimited access : an fbi agent inside the clinton white house,unlimited access,0895264544
12413,gary wockner,sex with a mountain bike and other stories,sex with a mountain bike and other stories,0963136216
13536,gary zukav,dancing wu li masters : an overview of the new physics ( perennial classics ),dancing wu li masters,0060959681
9396,gary zukav,seat of the soul,seat of the soul,067169507X
7967,gary zukav,soul stories,soul stories,0743206371
10309,gary zukav,soul stories,soul stories,0743204077
575,gary zukav,the dancing wu li masters : an overview of the new physics,the dancing wu li masters,055326382X
11185,gary zukav,the seat of the soul,the seat of the soul,0671253832
14358,gaston leroux,phantom of the opera,phantom of the opera,0880299053
5684,gaston leroux,the phantom of the opera ( bantam classic ),the phantom of the opera,0553213768
1006,gaston leroux,the phantom of the opera ( signet classics ( paperback ) ),the phantom of the opera,0451524829
9245,gaston leroux,the phantom of the opera : the original novel,the phantom of the opera,0060809248
12044,gavin de becker,protecting the gift : keeping children and teenagers safe ( and parents sane ),protecting the gift,0385333099
4746,gavin de becker,the gift of fear : survival signals that protect us from violence,the gift of fear,0316235024
4994,gavin edwards,scuse me while i kiss this guy,scuse me while i kiss this guy,0671501283
12192,gay courter,the midwife,the midwife,0451115031
8676,gay courter,the midwife : a novel,the midwife,0451156234
11721,gay hendricks,a year of living consciously : 365 daily inspirations for creating a life of passion and purpose,a year of living consciously,0062515888
7129,gayle greeno,exiles' return ( ghatti's tale ),exiles' return,0886776554
8928,gayle greeno,"mind - speakers' call ( the ghatti's tale , book 2 )",mind - speakers' call,0886775795
8929,gayle greeno,"the ghatti's tale ( finder - seekers , book one )",the ghatti's tale,0886775507
3156,gayle lynds,masquerade,masquerade,042516019X
6420,gelsey kirkland,dancing on my grave gelsey kirkland,dancing on my grave gelsey kirkland,051509465X
16833,gemma oconnor,fallende schatten,fallende schatten,3492256597
16832,gemma oconnor,zeit des vergebens . psychothriller,zeit des vergebens . psychothriller,3492231985
5825,gene brewer,k - pax,k - pax,0312977026
15865,gene simmons,kiss and make - up,kiss and make - up,0609810022
16735,gene simmons,kiss and make - up,kiss and make - up,060960855X
7822,gene stratton - porter,a girl of the limberlost,a girl of the limberlost,0440430909
6641,gene weingarten,the hypochondriac's guide to life . and death,the hypochondriac's guide to life . and death,0684852802
10676,geneen roth,when food is love : exploring the relationship between eating and intimacy,when food is love,0452268184
1875,gentry lee,cradle,cradle,0446356018
1004,geoff ryman,253,253,0006550789
13530,geoff ryman,253 : the print remix,253,0312182953
8585,geoff ryman,was,was,0140178724
17470,geoff tibballs,wallace & gromit : cheese lover's yearbook,wallace & gromit,0836252926
9900,geoffrey a . landis,mars crossing,mars crossing,0312872011
16525,geoffrey chaucer,selected canterbury tales ( dover thrift editions ),selected canterbury tales,0486282414
2657,geoffrey chaucer,the canterbury tales ( bantam classics ),the canterbury tales,0553210823
6243,geoffrey chaucer,the canterbury tales ( oxford paperbacks ),the canterbury tales,0192815970
4839,geoffrey chaucer,"the canterbury tales , in modern english","the canterbury tales , in modern english",0140440224
3757,george bernard shaw,pygmalion : a romance in five acts,pygmalion,014045022X
11033,george bernard shaw,pygmalion and my fair lady,pygmalion and my fair lady,0451524764
5268,george burns,gracie : a love story,gracie,0140126562
11885,george burns,gracie : a love story,gracie,0399133844
2818,george carlin,brain droppings,brain droppings,0786883219
4704,george carlin,brain droppings,brain droppings,0786863137
1201,george carlin,napalm & silly putty,napalm & silly putty,0786864133
12327,george carlin,napalm & silly putty,napalm & silly putty,0786887583
11418,george dawes green,the caveman's valentine,the caveman's valentine,0446671517
6160,george dawes green,the juror,the juror,0446602698
8028,george dawson,life is so good,life is so good,0141001682
13828,george eliot,middlemarch,middlemarch,0140430024
13791,george eliot,middlemarch ( oxford world's classics ),middlemarch,0192834029
10883,george eliot,middlemarch ( penguin classics ),middlemarch,0140433880
16395,george eliot,middlemarch ( penguin popular classics ),middlemarch,0140620761
1815,george eliot,middlemarch ( wadsworth series in mass communication ),middlemarch,0553211803
7749,george eliot,silas marner ( bantam classics ),silas marner,055321229X
16996,george eliot,silas marner ( watermill classics ),silas marner,0893759961
16870,george eliot,silas marner ( wordsworth collection ),silas marner,1853262218
13229,george f . will,men at work : the craft of baseball,men at work,0060973722
16151,george grossmith,the diary of a nobody ( essential . penguin s . ),the diary of a nobody,0140285563
9762,george grossmith,the diary of a nobody ( penguin popular classics ),the diary of a nobody,0140621571
16416,george lucas,"shadow dawn ( chronicles of the shadow war , book 2 )",shadow dawn,055357289X
15058,george lucas,"shadow moon ( chronicles of the shadow war , book 1 )",shadow moon,0553572857
5061,george lucas,star wars : from the adventures of luke skywalker : a novel,star wars,0345260791
13104,george lucas,"the star wars trilogy : star wars , the empire strikes back , return of the jedi",the star wars trilogy,0345384385
17383,george mair,rosie o'donnell : her true story,rosie o'donnell,1559724161
12207,george martin,wild cards ( volume 1 ),wild cards,0743423801
13206,george monbiot,captive state : the corporate takeover of britain,captive state,0330369431
1117,george orwell,1984,1984,0451524934
3842,george orwell,1984,1984,0451519841
5470,george orwell,1984,1984,0452262933
14503,george orwell,1984,1984,207036822X
4039,george orwell,1984 ( signet classics ( paperback ) ),1984,0881030368
16492,george orwell,1984 ( spanish language edition ),1984,8423309835
162,george orwell,animal farm,animal farm,0451526341
2834,george orwell,animal farm,animal farm,0451524667
13463,george orwell,animal farm,animal farm,0451521560
3764,george orwell,animal farm : a fairy story,animal farm,0452277507
11198,george orwell,down and out in paris and london,down and out in paris and london,015626224X
16389,george orwell,homage to catalonia ( harvest book ),homage to catalonia,0156421178
6437,george orwell,la ferme des animaux,la ferme des animaux,2070375161
15302,george orwell,nineteen eighty - four : a novel,nineteen eighty - four,0452284236
9525,george orwell,rebelion en la granja,rebelion en la granja,8423309223
6061,george orwell,the road to wigan pier,the road to wigan pier,0156767503
7326,george p . pelecanos,right as rain,right as rain,0446610798
7327,george pelecanos,hell to pay,hell to pay,0446611328
4535,george perec,la vie mode d'emploi,la vie mode d'emploi,2253023906
2313,george r . r . martin,"a clash of kings ( a song of fire and ice , book 2 )",a clash of kings,0553579908
4343,george r . r . martin,windhaven,windhaven,0553577905
4641,george r . stewart,earth abides,earth abides,0449213013
2312,george r . r . martin,"a game of thrones ( a song of ice and fire , book 1 )",a game of thrones,0553573403
13027,george r . r . martin,wild cards ( volume 1 ),wild cards,0553261908
6297,george s . clason,the richest man in babylon,the richest man in babylon,0451205367
14542,george s . clason,the richest man in babylon,the richest man in babylon,0451165209
9746,george saunders,civilwarland in bad decline : stories and a novella,civilwarland in bad decline,1573225797
9858,george selden,the cricket in times square ( newbery winners for microcomputers ),the cricket in times square,0440415632
679,george stephanopoulos,all too human : a political education,all too human,0316929190
13521,george takei,"to the stars : the autobiography of george takei , star trek's mr . sulu",to the stars,0671890085
11406,"george , jr . lardner",the stalking of kristin : a father investigates the murder of his daughter,the stalking of kristin,0451407318
15205,georges perec,homme qui dort,homme qui dort,2070382885
6355,georgette heyer,corinthian,corinthian,0373834489
6348,georgette heyer,the nonesuch,the nonesuch,0373834446
12664,georgia bockoven,the beach house,the beach house,0061084409
9034,georgia byng,molly moon's incredible book of hypnotism ( molly moon books ( hardcvoer ) ),molly moon's incredible book of hypnotism,006051406X
13178,gerald a . browne,hot siberian,hot siberian,0380703327
16362,gerald a . browne,stone 588,stone 588,0425098842
16152,gerald durrell,my family and other animals ( essential . penguin s . ),my family and other animals,0140282599
11343,gerald malcolm durrell,my family and other animals,my family and other animals,0140013997
6049,gerald petievich,the sentinel,the sentinel,0425188795
13751,gerald seymour,at close quarters,at close quarters,000617616X
9829,geraldine brooks,foreign correspondence,foreign correspondence,0385483732
7167,geraldine brooks,nine parts of desire : the hidden world of islamic women,nine parts of desire,0385475772
2554,geraldine brooks,year of wonders,year of wonders,0142001430
9832,geraldine brooks,year of wonders : a novel of the plague,year of wonders,067091021X
12729,geralyn dawson,my big old texas heartache,my big old texas heartache,0743442660
7983,geralyn dawson,the pink magnolia club,the pink magnolia club,0743442652
16050,gerda weissmann klein,all but my life : a memoir,all but my life,0809015803
8993,gerry conlon,in the name of the father,in the name of the father,0452272785
3795,gertrude cha warner,mike's mystery,mike's mystery,0590426869
10241,gertrude chandler warner,"mystery ranch ( boxcar children series , no 4 )",mystery ranch,0807553913
4683,gertrude chandler warner,"the boxcar children ( boxcar children , no 1 )",the boxcar children,0807508527
4979,gertrude chandler warner,"the yellow house mystery ( boxcar children series , no 3 )",the yellow house mystery,0807593664
7261,gertrude crampton,scuffy the tugboat and his adventures down the river,scuffy the tugboat and his adventures down the river,0307020460
13916,gertrude stein,the autobiography of alice b . toklas,the autobiography of alice b . toklas,067972463X
16534,gertrude warner,bxc surprise island,bxc surprise island,0590426893
8282,gervase phinn,the other side of the dale,the other side of the dale,0140275428
17504,gil roscoe,company of thieves,company of thieves,0758200366
5184,gilda radner,it's always something,it's always something,0380710722
6240,gilda radner,it's always something,it's always something,0671638688
9566,giles blunt,forty words for sorrow,forty words for sorrow,0425185168
7067,gillian kemp,"the fortune telling book : reading crystal balls , tea leaves , playing cards , and everyday omens of love and luck",the fortune telling book,0316488356
3463,gina b . nahai,moonlight on the avenue of faith,moonlight on the avenue of faith,0671042831
1,gina bari kolata,flu : the story of the great influenza pandemic of 1918 and the search for the virus that caused it,flu,0374157065
17032,gina berriault,afterwards,afterwards,1887178740
15539,gina kolata,flu : the story of the great influenza pandemic,flu,0743203984
14917,gina wilkins,conflict of interest ( mcclouds & mississippi ),conflict of interest,0373245319
14826,gioconda belli,bewohnte frau . roman,bewohnte frau . roman,3423113456
14864,gion mathias cavelty,"endlich nichtleser : die beste methode , mit dem lesen fur immer aufzuhoren ( suhrkamp taschenbuch )",endlich nichtleser,3518396315
18117,giovanni boccaccio,the decameron ( classics s . ),the decameron,0140442693
5802,giovanni boccaccio,the decameron ( penguin classics ),the decameron,014044629X
10912,giuseppe tomasi di lampedusa,the leopard,the leopard,0679731210
9495,glade b . curtis m . d . ob / gyn,your pregnancy : week by week ( your pregnancy series ),your pregnancy,1555611435
10571,glen cook,the black company : the first novel of the black company ( chronicles of the black company ),the black company,0812521390
4940,glen duncan,"i , lucifer : finally , the other side of the story","i , lucifer",0802140149
3514,glen gold,carter beats the devil,carter beats the devil,0786886323
11871,glen gold,carter beats the devil,carter beats the devil,0786867345
7714,glen hirshberg,the snowman's children,the snowman's children,0786710829
11747,glenn meade,snow wolf,snow wolf,0312962118
15687,glenna mcreynolds,prince of time,prince of time,0553574329
18064,gloria chadwick,discovering your past lives,discovering your past lives,0809245469
7518,gloria mallette,shades of jade : a novel,shades of jade,0375757430
1583,gloria naylor,bailey's cafe,bailey's cafe,0151104506
17208,gloria naylor,bailey's cafe ( vintage contemporaries ),bailey's cafe,0679748210
1118,gloria naylor,mama day ( vintage contemporaries ),mama day,0679721819
1895,gloria naylor,the women of brewster place ( penguin contemporary american fiction series ),the women of brewster place,014006690X
9231,gloria steinem,moving beyond words,moving beyond words,0671649728
6614,gloria steinem,outrageous acts and everyday rebellions,outrageous acts and everyday rebellions,0030632366
2415,gloria steinem,revolution from within : a book of self - esteem,revolution from within,0316812471
8628,gloria steinem,revolution from within : a book of self - esteem,revolution from within,0316812404
9908,golden books,winnie the pooh and the honey tree ( little golden books ),winnie the pooh and the honey tree,0307302016
195,golding,"herr der fliegen ( fiction , poetry and drama )",herr der fliegen,3596214629
18106,goldman,princess bride,princess bride,034525483X
15312,gonzalo torrente ballester,the king amaz'd : a chronicle ( everyman's library ( paper ) ),the king amaz'd,0460877305
17785,gordon burgett,how to sell more than 75 % of your freelance writing,how to sell more than 75 % of your freelance writing,1559586893
448,gordon jarvie,scottish folk and fairy tales ( penguin popular classics ),scottish folk and fairy tales,0140622063
1377,gordon korman,"shipwreck ( island , book 1 )",shipwreck,0439164567
5206,gordon mackenzie,orbiting the giant hairball : a corporate fool's guide to surviving with grace,orbiting the giant hairball,0670879835
14866,gordon noah,der schamane,der schamane,3426630583
16379,gordon r . dickson,the dragon knight,the dragon knight,0812509439
8857,gordon r . dickson,the dragon and the george,the dragon and the george,0345350502
15697,gore vidal,dreaming war : blood for oil and the cheney - bush junta,dreaming war,1560255021
6935,gore vidal,lincoln,lincoln,034531221X
15818,goscinny sempe,le petit nicolas,le petit nicolas,2070364232
12279,grace llewellyn,the teenage liberation handbook : how to quit school and get a real life and education,the teenage liberation handbook,0962959170
15378,grace slick,somebody to love ? : a rock - and - roll memoir,somebody to love,044652302X
10662,graeme base,animalia midi,animalia midi,0810919397
